benchmark,loads,stores
bt,913430747336,254994158923
cg,267909438169,57012031514
ep,34239614058,30606611543
ft,333115743597,199757422709
is,6132110678,4519398550
lu,602819685175,123738999161
mg,26495479997,6347249205
sp,592657658708,130078018904
ua,513983523459,127043723053
