Benchmark,A % Overhead,A Speedup,B % Overhead,B Speedup,C % Overhead,C Speedup
cg,- 49.08,1.963966086,- 44.68,  1.81,- 44.63,  1.81
ep,  2.28,0.9776691235,  2.45,   .98,  1.49,   .99
ft,-  7.43,1.080215487,-  8.22,  1.09,,
is,-   .86,1.00862423, 12.56,   .89,  7.57,   .93
Geomean,,1.202655994,,  1.14,,  1.18
Average,-  8.7 ,,-22.47137575,,- 26.18,
