A,B,C
bt,0.9664637784938537,0.9600410810399589,0.9616348064597386
lu,0.9862075858277947,0.9739143705755977,0.978558521377340
mg,0.9861995753715497,0.9841980510929683,
sp,0.9430326890956813,0.941453258380179,0.9403175378271514
ua,0.9667485122144077,0.9623501929717652,0.9629260921283038
cg,1.0,0.87,0.9736440901
ep,1.003785298,1.0,1.003851036
ft,0.8144266338,0.81,
is,0.9925611052,1.0,0.9988230679
Geomean,0.9796163786411614,0.9573394673034071,0.9740351913699117
