A,B,C
bt,0.9770795249721963,0.9617331281522133,0.9665487131920353
lu,1.071211374794027,1.0702335570895318,1.049895111117843
mg,1.0417145044010714,1.0131517582315082,
sp,1.180545320560059,1.1817260341084748,1.158877364246492
ua,0.9475082273374252,0.9382707152761854,0.920310470416043
cg,1.963966086,1.81,1.81
ep,0.9776691235,0.98,0.99
ft,1.080215487,1.09,
is,1.00862423,0.89,0.93
Geomean,1.1240598400740527,1.0877389505706523,1.0879055053419304
