benchmark,loads,stores
bt,219449841138,61208784803
cg,9069974644,1746285613
ep,8559823032,7651564379
ft,28295057121,16981587687
is,1533056424,1129876624
lu,143840176192,29551014314
mg,8333405667,2027600285
sp,141930483248,31147751130
ua,130329588844,32206986371
