benchmark,time_overhead,time_speedup
bt,4.66,0.96
cg,0.0,1.0
ep,-0.03,1.0
ft,5.62,0.95
is,0.0,1.0
lu,0.73,0.99
mg,2.41,0.98
sp,3.96,0.96
ua,12.93,0.89
Mean,3.36,0.97
Geomean,,0.97
