benchmark,B,time_speedup
bt,3.0,0.97
cg,4.35,0.96
ep,2.77,0.97
ft,1.62,0.98
is,3.64,0.96
lu,7.8,0.93
mg,1.79,0.98
sp,19.03,0.84
ua,-5.62,1.06
Mean,4.27,0.96
Geomean,,0.96
