benchmark,A,time_speedup
bt,2.94,0.97
cg,3.75,0.96
ep,2.71,0.97
ft,1.26,0.99
is,1.43,0.99
lu,8.05,0.93
mg,1.47,0.99
sp,18.53,0.84
ua,-5.34,1.06
Mean,3.87,0.97
Geomean,,0.96
