benchmark,time_O0,time_O1,time_O2,time_O3
bt,1082.58,559.81,502.10,490.16
cg,501.52,126.66,135.58,135.79
ep,213.23,200.17,203.43,198.85
ft,357.81,86.65,82.45,83.92
is,7.35,2.51,2.48,2.37
lu,883.09,356.86,320.34,314.14
mg,37.34,19.44,15.55,16.18
sp,937.08,337.91,249.68,249.17
ua,1438.51,314.74,207.25,217.24
