Affinity,Benchmark,Class,Experiment,Iteration,Threads,Time
scatter,is,A,baseline,3.0,6,0.1
scatter,ua,A,baseline,2.0,1,31.22
compact,ua,A,baseline,3.0,1,31.26
compact,ua,A,baseline,1.0,10,7.34
compact,sp,A,baseline,3.0,12,5.11
scatter,mg,A,baseline,2.0,2,0.48
compact,is,A,baseline,2.0,2,0.31
compact,cg,A,baseline,1.0,12,0.16
compact,ep,A,baseline,2.0,8,1.96
scatter,sp,A,baseline,3.0,4,6.83
scatter,ep,A,baseline,2.0,4,3.24
scatter,bt,A,baseline,1.0,2,23.68
compact,is,A,baseline,1.0,14,0.07
compact,lu,A,baseline,2.0,8,6.24
compact,lu,A,baseline,1.0,16,4.0
compact,lu,A,baseline,3.0,12,5.35
compact,mg,A,baseline,3.0,10,0.29
scatter,ft,A,baseline,3.0,8,0.47
compact,ft,A,baseline,1.0,6,0.89
scatter,lu,A,baseline,2.0,4,7.57
compact,ua,A,baseline,2.0,6,10.26
compact,sp,A,baseline,2.0,2,21.06
compact,ft,A,baseline,1.0,8,0.68
compact,dc,A,baseline,3.0,8,80.19
scatter,ft,A,baseline,2.0,1,2.56
compact,bt,A,baseline,3.0,2,43.08
scatter,bt,A,baseline,1.0,8,7.55
compact,lu,A,baseline,3.0,14,4.63
compact,is,A,baseline,2.0,6,0.14
scatter,ep,A,baseline,3.0,2,6.04
compact,bt,A,baseline,1.0,12,9.28
scatter,dc,A,baseline,3.0,6,57.33
compact,ft,A,baseline,3.0,10,0.66
compact,is,A,baseline,1.0,4,0.2
scatter,lu,A,baseline,1.0,1,26.15
scatter,mg,A,baseline,3.0,1,0.93
scatter,cg,A,baseline,1.0,4,0.28
scatter,dc,A,baseline,3.0,4,62.77
compact,ep,A,baseline,1.0,1,12.1
scatter,cg,A,baseline,3.0,8,0.17
scatter,mg,A,baseline,2.0,8,0.24
compact,sp,A,baseline,3.0,1,24.48
scatter,ua,A,baseline,1.0,2,16.32
compact,bt,A,baseline,3.0,10,11.01
compact,lu,A,baseline,3.0,10,6.17
compact,mg,A,baseline,1.0,12,0.26
scatter,sp,A,baseline,2.0,2,12.49
compact,sp,A,baseline,3.0,14,4.57
scatter,lu,A,baseline,1.0,2,13.41
compact,mg,A,baseline,1.0,16,0.25
compact,ua,A,baseline,3.0,14,5.48
compact,sp,A,baseline,2.0,4,11.11
compact,mg,A,baseline,1.0,8,0.31
scatter,sp,A,baseline,1.0,1,24.28
compact,ua,A,baseline,1.0,14,5.49
compact,ep,A,baseline,3.0,6,2.61
compact,mg,A,baseline,1.0,1,0.93
scatter,lu,A,baseline,2.0,8,4.7
compact,bt,A,baseline,2.0,2,43.05
compact,cg,A,baseline,1.0,1,1.01
compact,sp,A,baseline,2.0,10,5.91
compact,lu,A,baseline,2.0,1,26.18
compact,is,A,baseline,2.0,10,0.09
compact,is,A,baseline,2.0,14,0.07
compact,bt,A,baseline,2.0,4,21.79
scatter,ep,A,baseline,3.0,1,12.02
scatter,ft,A,baseline,3.0,1,2.57
scatter,bt,A,baseline,3.0,1,46.79
scatter,ua,A,baseline,3.0,2,16.32
compact,dc,A,baseline,2.0,14,46.45
scatter,mg,A,baseline,3.0,6,0.25
scatter,ft,A,baseline,2.0,6,0.57
compact,sp,A,baseline,2.0,8,6.32
compact,mg,A,baseline,3.0,14,0.26
compact,mg,A,baseline,2.0,2,0.84
compact,dc,A,baseline,2.0,1,172.55
scatter,is,A,baseline,3.0,2,0.25
scatter,mg,A,baseline,2.0,4,0.29
scatter,is,A,baseline,1.0,6,0.11
compact,is,A,baseline,1.0,2,0.31
compact,ua,A,baseline,1.0,8,7.92
scatter,lu,A,baseline,3.0,8,4.68
compact,ft,A,baseline,3.0,6,0.89
scatter,ua,A,baseline,3.0,6,7.42
scatter,cg,A,baseline,2.0,4,0.28
compact,ep,A,baseline,2.0,2,7.34
compact,ua,A,baseline,1.0,12,6.26
scatter,is,A,baseline,3.0,1,0.34
compact,bt,A,baseline,1.0,16,7.27
compact,sp,A,baseline,3.0,16,4.23
compact,cg,A,baseline,2.0,1,1.01
compact,bt,A,baseline,2.0,8,11.89
compact,cg,A,baseline,1.0,2,0.68
compact,cg,A,baseline,3.0,1,1.01
scatter,mg,A,baseline,1.0,4,0.29
compact,sp,A,baseline,2.0,6,8.06
scatter,bt,A,baseline,2.0,1,46.88
compact,ua,A,baseline,2.0,12,6.28
compact,cg,A,baseline,3.0,12,0.15
compact,mg,A,baseline,1.0,6,0.35
compact,sp,A,baseline,1.0,10,5.89
compact,ep,A,baseline,2.0,4,3.65
compact,bt,A,baseline,1.0,10,11.02
compact,lu,A,baseline,3.0,2,21.14
scatter,dc,A,baseline,3.0,2,100.3
compact,ua,A,baseline,2.0,8,7.89
compact,ft,A,baseline,2.0,1,2.56
compact,cg,A,baseline,3.0,14,0.14
scatter,lu,A,baseline,1.0,8,4.69
scatter,bt,A,baseline,2.0,8,7.59
scatter,dc,A,baseline,1.0,1,171.4
compact,ua,A,baseline,1.0,2,26.05
scatter,ua,A,baseline,3.0,8,5.71
compact,ep,A,baseline,2.0,6,2.67
scatter,lu,A,baseline,2.0,1,26.08
compact,ep,A,baseline,1.0,6,2.61
scatter,sp,A,baseline,3.0,8,4.4
compact,is,A,baseline,1.0,6,0.14
scatter,dc,A,baseline,1.0,4,62.74
compact,dc,A,baseline,1.0,12,46.33
scatter,ep,A,baseline,1.0,4,3.26
compact,mg,A,baseline,2.0,6,0.35
compact,cg,A,baseline,3.0,10,0.18
compact,ua,A,baseline,2.0,1,31.26
compact,cg,A,baseline,2.0,16,0.13
compact,mg,A,baseline,2.0,12,0.26
