benchmark,loads,stores
bt,2397563430,3660946772
cg,4115170567,476197587
ep,3372452641,3763648192
ft,3978543846,3621164841
is,1426144416,1501615090
lu,2624246916,358498544
mg,3809041927,147654382
sp,2410688176,561570008
ua,945149548,2803225285
