benchmark,time_overhead,time_speedup
bt,3.54,0.97
cg,14.14,0.88
ep,0.88,0.99
ft,6.2,0.94
is,0.57,0.99
lu,1.27,0.99
mg,0.0,1.0
sp,6.69,0.94
ua,10.98,0.9
Mean,4.92,0.96
Geomean,0.0,0.95
