class,A
bt,0.631578947368415
cg,7.04225352112677
ep,1.86046511627906
ft,1.74129353233832
is,0
lu,-1.36074992440279
mg,0
sp,-0.386847195357839
ua,-0.038358266206374
Geomean,0.989820432680774
