class,Overhead_A_O1
bt,3.88190267905959
cg,-0.568181818181819
ep,3.45937248592116
ft,1.35841170323928
is,2.08333333333334
lu,9.16870415647922
mg,0.118483412322272
sp,12.2564598590576
ua,-8.121387283237
Geomean,0.975816160519423
