benchmark,time_O1_overhead,time_O1_speedup
bt,12.8,0.89
cg,-0.41,1.0
ep,0.13,1.0
ft,8.91,0.92
is,0.0,1.0
lu,12.22,0.89
mg,-2.43,1.02
sp,30.3,0.77
ua,41.19,0.71
Mean,11.41,0.91
Geomean,,0.9
