benchmark,loads,stores
bt,3978509217,2301371635
cg,2895163088,2076724204
ep,3412674746,78042078
ft,2680622485,1712840648
is,2571192514,1516298015
lu,3820880401,1959716356
mg,2592909105,3258816368
sp,2578168195,964888407
ua,1690570243,432869960
