benchmark,C,time_speedup
bt,2.92,0.97
cg,-2.71,1.03
ep,0.02,1.0
is,-1.99,1.02
lu,1.67,0.98
sp,5.5,0.95
ua,9.4,0.91
Mean,2.12,0.98
Geomean,,0.98
