benchmark,time_overhead,time_speedup
bt,8.28,0.92
cg,4.42,0.96
ep,11.05,0.9
ft,20.04,0.83
is,4.47,0.96
lu,19.02,0.84
mg,2.69,0.97
sp,24.86,0.8
ua,-6.94,1.07
Mean,9.77,0.92
Geomean,,0.91
