benchmark,time_O0_overhead,time_O0_speedup
bt,5.31,0.95
cg,0.1,1.0
ep,0.77,0.99
ft,0.17,1.0
is,0.72,0.99
lu,2.04,0.98
mg,2.66,0.97
sp,6.38,0.94
ua,3.2,0.97
Mean,2.37,0.98
Geomean,1.21,0.98
