Affinity,Benchmark,Class,Experiment,Iteration,Threads,Time
scatter,bt,A,baseline,1.0,8,13.22
compact,lu,A,baseline,3.0,14,5.46
compact,is,A,baseline,2.0,6,0.12
scatter,ep,A,baseline,3.0,2,12.09
compact,bt,A,baseline,1.0,12,17.95
compact,ft,A,baseline,3.0,10,0.59
compact,is,A,baseline,1.0,4,0.16
scatter,lu,A,baseline,1.0,1,29.46
scatter,mg,A,baseline,3.0,1,1.08
scatter,cg,A,baseline,1.0,4,0.29
compact,ep,A,baseline,1.0,1,24.18
scatter,cg,A,baseline,3.0,8,0.18
scatter,mg,A,baseline,2.0,8,0.24
compact,sp,A,baseline,3.0,1,31.44
compact,bt,A,baseline,3.0,10,20.95
compact,lu,A,baseline,3.0,10,7.09
compact,mg,A,baseline,1.0,12,0.27
scatter,sp,A,baseline,2.0,2,16.03
compact,sp,A,baseline,3.0,14,7.18
scatter,lu,A,baseline,1.0,2,15.09
compact,mg,A,baseline,1.0,16,0.25
compact,sp,A,baseline,2.0,4,16.44
compact,mg,A,baseline,1.0,8,0.32
scatter,sp,A,baseline,1.0,1,31.18
compact,ep,A,baseline,3.0,6,5.04
compact,mg,A,baseline,1.0,1,1.08
scatter,lu,A,baseline,2.0,8,5.01
compact,bt,A,baseline,2.0,2,76.39
compact,cg,A,baseline,1.0,1,1.03
compact,sp,A,baseline,2.0,10,9.09
compact,lu,A,baseline,2.0,1,29.47
compact,is,A,baseline,2.0,10,0.08
compact,is,A,baseline,2.0,14,0.06
compact,bt,A,baseline,2.0,4,38.99
scatter,ep,A,baseline,3.0,1,24.2
scatter,ft,A,baseline,3.0,1,2.74
scatter,bt,A,baseline,3.0,1,80.58
scatter,mg,A,baseline,3.0,6,0.27
scatter,ft,A,baseline,2.0,6,0.61
compact,sp,A,baseline,2.0,8,9.24
compact,mg,A,baseline,3.0,14,0.26
compact,mg,A,baseline,2.0,2,0.96
scatter,is,A,baseline,3.0,2,0.19
scatter,mg,A,baseline,2.0,4,0.32
scatter,is,A,baseline,1.0,6,0.08
compact,is,A,baseline,1.0,2,0.33
scatter,lu,A,baseline,3.0,8,5.02
compact,ft,A,baseline,3.0,6,0.83
scatter,cg,A,baseline,2.0,4,0.29
compact,ep,A,baseline,2.0,2,14.02
scatter,is,A,baseline,3.0,1,0.36
compact,bt,A,baseline,1.0,16,12.8
compact,sp,A,baseline,3.0,16,6.24
compact,cg,A,baseline,2.0,1,1.03
compact,bt,A,baseline,2.0,8,21.43
compact,cg,A,baseline,1.0,2,0.7
compact,cg,A,baseline,3.0,1,1.03
scatter,mg,A,baseline,1.0,4,0.32
compact,sp,A,baseline,2.0,6,12.22
scatter,bt,A,baseline,2.0,1,80.86
compact,cg,A,baseline,3.0,12,0.16
compact,mg,A,baseline,1.0,6,0.38
compact,sp,A,baseline,1.0,10,9.25
compact,ep,A,baseline,2.0,4,6.79
compact,bt,A,baseline,1.0,10,21.74
compact,lu,A,baseline,3.0,2,23.66
compact,ft,A,baseline,2.0,1,2.73
compact,cg,A,baseline,3.0,14,0.15
scatter,lu,A,baseline,1.0,8,5.03
scatter,bt,A,baseline,2.0,8,13.23
