benchmark,loads,stores
bt,219448713436,65078970448
cg,9846494899,1751223191
ep,7927325719,7862467581
ft,23925487333,13444287064
is,1533057288,1129877292
lu,144038135383,33625430167
mg,7987776533,2097200182
sp,146485666915,32213130522
ua,133862598836,33645884091
