benchmark,time_overhead,time_speedup
bt,5.77,0.95
cg,0.39,1.0
ep,2.92,0.97
ft,0.98,0.99
is,1.43,0.99
lu,10.09,0.91
mg,1.22,0.99
sp,17.84,0.85
ua,-7.55,1.08
Mean,3.68,0.97
Geomean,,0.97
