benchmark,time_overhead,time_speedup
bt,4.63,0.96
cg,4.3,0.96
ep,10.94,0.9
ft,20.16,0.83
is,0.0,1.0
lu,17.64,0.85
mg,2.16,0.98
sp,19.44,0.84
ua,-5.67,1.06
Mean,8.18,0.93
Geomean,,0.93
