benchmark,loads,stores
bt,913426289750,270581168315
cg,295139240872,57053001751
ep,31709578215,31450285630
ft,281108720613,157692363566
is,6132111563,4519399214
lu,603636248041,140829833523
mg,25043415239,6421449208
sp,611668302146,134241339885
ua,528291247440,132779585345
