A,B,C
bt,0.986298257,1.019505231,1.016966023
lu,1.011403544,1.013768044,1.01372505
mg,1.006805808,0.994561671,
sp,1.134040587,1.121959837,1.104469074
ua,1.002068052,1.002924797,0.99331684
cg,1.061506565,1.018825612,1.004227033
ep,0.99746789,0.995054338,0.996541662
ft,0.98387551,1.032647417,
is,1.001162791,0.880064395,0.948047629
Geomean,1.019548425,1.007091048,1.010124889
