benchmark,loads_speedup,stores_speedup
bt,1.3470044736733533,3.158521846588286
cg,0.7719181814643411,1.000641801579005
ep,1.1411239620736688,0.018750941654712642
ft,0.9749821553774739,1.005117193205725
is,1.030252412383597,1.0463100100978882
lu,1.5581528984904285,1.1770718329609025
mg,0.9087723342384606,1.0213215881982403
sp,1.1226353767417858,0.6357272932436636
ua,0.5320746117964196,20.87213788004308
