Affinity,Benchmark,Class,Experiment,Iteration,Threads,Time
compact,lu,A,r12_r13_r14_to_temp,2.0,2,23.66
scatter,mg,A,r12_r13_r14_to_temp,1.0,1,1.08
compact,ep,A,r12_r13_r14_to_temp,2.0,16,2.17
compact,sp,A,r12_r13_r14_to_temp,1.0,2,31.14
compact,is,A,r12_r13_r14_to_temp,2.0,1,0.36
scatter,is,A,r12_r13_r14_to_temp,2.0,4,0.1
scatter,ep,A,r12_r13_r14_to_temp,2.0,1,24.05
scatter,is,A,r12_r13_r14_to_temp,3.0,8,0.06
compact,ep,A,r12_r13_r14_to_temp,2.0,12,2.92
scatter,ep,A,r12_r13_r14_to_temp,1.0,8,3.78
compact,ep,A,r12_r13_r14_to_temp,2.0,1,24.03
scatter,sp,A,r12_r13_r14_to_temp,3.0,6,7.51
compact,lu,A,r12_r13_r14_to_temp,3.0,1,29.48
compact,bt,A,r12_r13_r14_to_temp,3.0,16,13.84
scatter,mg,A,r12_r13_r14_to_temp,3.0,2,0.56
compact,bt,A,r12_r13_r14_to_temp,2.0,10,22.64
compact,lu,A,r12_r13_r14_to_temp,3.0,4,12.95
scatter,is,A,r12_r13_r14_to_temp,3.0,6,0.08
compact,sp,A,r12_r13_r14_to_temp,3.0,12,8.11
scatter,mg,A,r12_r13_r14_to_temp,2.0,2,0.56
compact,is,A,r12_r13_r14_to_temp,2.0,2,0.32
compact,cg,A,r12_r13_r14_to_temp,1.0,12,0.17
compact,ep,A,r12_r13_r14_to_temp,2.0,8,3.77
scatter,sp,A,r12_r13_r14_to_temp,3.0,4,9.21
scatter,ep,A,r12_r13_r14_to_temp,2.0,4,6.45
scatter,bt,A,r12_r13_r14_to_temp,1.0,2,43.6
compact,is,A,r12_r13_r14_to_temp,1.0,14,0.06
compact,lu,A,r12_r13_r14_to_temp,2.0,8,7.1
compact,lu,A,r12_r13_r14_to_temp,1.0,16,4.71
compact,lu,A,r12_r13_r14_to_temp,3.0,12,6.19
compact,mg,A,r12_r13_r14_to_temp,3.0,10,0.29
scatter,ft,A,r12_r13_r14_to_temp,3.0,8,0.49
