Affinity,Benchmark,Class,Experiment,Iteration,Threads,Time
compact,ep,A,r13_r14_to_temp,2.0,12,2.96
scatter,ep,A,r13_r14_to_temp,1.0,8,3.79
compact,ep,A,r13_r14_to_temp,2.0,1,24.19
scatter,sp,A,r13_r14_to_temp,3.0,6,7.53
compact,lu,A,r13_r14_to_temp,3.0,1,29.47
compact,bt,A,r13_r14_to_temp,3.0,16,13.79
scatter,mg,A,r13_r14_to_temp,3.0,2,0.56
compact,bt,A,r13_r14_to_temp,2.0,10,22.53
compact,lu,A,r13_r14_to_temp,3.0,4,12.95
scatter,is,A,r13_r14_to_temp,3.0,6,0.08
compact,sp,A,r13_r14_to_temp,3.0,12,8.17
scatter,mg,A,r13_r14_to_temp,2.0,2,0.56
compact,is,A,r13_r14_to_temp,2.0,2,0.32
compact,cg,A,r13_r14_to_temp,1.0,12,0.16
compact,ep,A,r13_r14_to_temp,2.0,8,3.82
scatter,sp,A,r13_r14_to_temp,3.0,4,9.28
scatter,ep,A,r13_r14_to_temp,2.0,4,6.49
scatter,bt,A,r13_r14_to_temp,1.0,2,42.98
compact,is,A,r13_r14_to_temp,1.0,14,0.06
compact,lu,A,r13_r14_to_temp,2.0,8,7.19
compact,lu,A,r13_r14_to_temp,1.0,16,4.73
compact,lu,A,r13_r14_to_temp,3.0,12,6.31
compact,mg,A,r13_r14_to_temp,3.0,10,0.3
scatter,ft,A,r13_r14_to_temp,3.0,8,0.49
compact,ft,A,r13_r14_to_temp,1.0,6,0.83
scatter,lu,A,r13_r14_to_temp,2.0,4,8.32
compact,sp,A,r13_r14_to_temp,2.0,2,31.73
compact,ft,A,r13_r14_to_temp,1.0,8,0.64
scatter,ft,A,r13_r14_to_temp,2.0,1,2.72
compact,bt,A,r13_r14_to_temp,3.0,2,82.15
scatter,bt,A,r13_r14_to_temp,1.0,8,14.04
compact,lu,A,r13_r14_to_temp,3.0,14,5.45
compact,is,A,r13_r14_to_temp,2.0,6,0.12
scatter,ep,A,r13_r14_to_temp,3.0,2,12.07
compact,bt,A,r13_r14_to_temp,1.0,12,19.27
compact,ft,A,r13_r14_to_temp,3.0,10,0.59
compact,is,A,r13_r14_to_temp,1.0,4,0.16
scatter,lu,A,r13_r14_to_temp,1.0,1,29.44
scatter,mg,A,r13_r14_to_temp,3.0,1,1.07
scatter,cg,A,r13_r14_to_temp,1.0,4,0.29
compact,ep,A,r13_r14_to_temp,1.0,1,24.18
scatter,cg,A,r13_r14_to_temp,3.0,8,0.18
scatter,mg,A,r13_r14_to_temp,2.0,8,0.24
compact,sp,A,r13_r14_to_temp,3.0,1,31.9
compact,bt,A,r13_r14_to_temp,3.0,10,22.5
compact,lu,A,r13_r14_to_temp,3.0,10,7.1
compact,mg,A,r13_r14_to_temp,1.0,12,0.27
scatter,sp,A,r13_r14_to_temp,2.0,2,16.34
compact,sp,A,r13_r14_to_temp,3.0,14,7.19
scatter,lu,A,r13_r14_to_temp,1.0,2,15.08
compact,mg,A,r13_r14_to_temp,1.0,16,0.27
compact,sp,A,r13_r14_to_temp,2.0,4,16.98
compact,mg,A,r13_r14_to_temp,1.0,8,0.32
scatter,sp,A,r13_r14_to_temp,1.0,1,31.68
compact,ep,A,r13_r14_to_temp,3.0,6,5.02
compact,mg,A,r13_r14_to_temp,1.0,1,1.08
scatter,lu,A,r13_r14_to_temp,2.0,8,5.02
compact,bt,A,r13_r14_to_temp,2.0,2,82.14
compact,cg,A,r13_r14_to_temp,1.0,1,1.04
compact,sp,A,r13_r14_to_temp,2.0,10,9.28
compact,lu,A,r13_r14_to_temp,2.0,1,29.45
compact,is,A,r13_r14_to_temp,2.0,10,0.08
compact,is,A,r13_r14_to_temp,2.0,14,0.06
compact,bt,A,r13_r14_to_temp,2.0,4,42.61
scatter,ep,A,r13_r14_to_temp,3.0,1,24.17
scatter,ft,A,r13_r14_to_temp,3.0,1,2.71
scatter,bt,A,r13_r14_to_temp,3.0,1,85.84
scatter,mg,A,r13_r14_to_temp,3.0,6,0.28
scatter,ft,A,r13_r14_to_temp,2.0,6,0.61
compact,sp,A,r13_r14_to_temp,2.0,8,9.53
compact,mg,A,r13_r14_to_temp,3.0,14,0.26
compact,mg,A,r13_r14_to_temp,2.0,2,0.95
scatter,is,A,r13_r14_to_temp,3.0,2,0.19
scatter,mg,A,r13_r14_to_temp,2.0,4,0.32
scatter,is,A,r13_r14_to_temp,1.0,6,0.08
compact,is,A,r13_r14_to_temp,1.0,2,0.32
scatter,lu,A,r13_r14_to_temp,3.0,8,5.01
compact,ft,A,r13_r14_to_temp,3.0,6,0.83
scatter,cg,A,r13_r14_to_temp,2.0,4,0.29
compact,ep,A,r13_r14_to_temp,2.0,2,14.04
scatter,is,A,r13_r14_to_temp,3.0,1,0.36
compact,bt,A,r13_r14_to_temp,1.0,16,13.81
compact,sp,A,r13_r14_to_temp,3.0,16,6.38
compact,cg,A,r13_r14_to_temp,2.0,1,1.04
compact,bt,A,r13_r14_to_temp,2.0,8,23.04
compact,cg,A,r13_r14_to_temp,1.0,2,0.7
compact,cg,A,r13_r14_to_temp,3.0,1,1.04
scatter,mg,A,r13_r14_to_temp,1.0,4,0.32
compact,sp,A,r13_r14_to_temp,2.0,6,12.34
scatter,bt,A,r13_r14_to_temp,2.0,1,85.82
compact,cg,A,r13_r14_to_temp,3.0,12,0.18
compact,mg,A,r13_r14_to_temp,1.0,6,0.38
compact,sp,A,r13_r14_to_temp,1.0,10,9.38
compact,ep,A,r13_r14_to_temp,2.0,4,6.94
compact,bt,A,r13_r14_to_temp,1.0,10,22.52
compact,lu,A,r13_r14_to_temp,3.0,2,23.84
compact,ft,A,r13_r14_to_temp,2.0,1,2.72
compact,cg,A,r13_r14_to_temp,3.0,14,0.15
scatter,lu,A,r13_r14_to_temp,1.0,8,5.01
scatter,bt,A,r13_r14_to_temp,2.0,8,14.06
compact,ep,A,r13_r14_to_temp,2.0,6,5.36
scatter,lu,A,r13_r14_to_temp,2.0,1,29.39
compact,ep,A,r13_r14_to_temp,1.0,6,4.83
scatter,sp,A,r13_r14_to_temp,3.0,8,5.94
compact,is,A,r13_r14_to_temp,1.0,6,0.12
scatter,ep,A,r13_r14_to_temp,1.0,4,6.52
compact,mg,A,r13_r14_to_temp,2.0,6,0.38
compact,cg,A,r13_r14_to_temp,3.0,10,0.19
compact,cg,A,r13_r14_to_temp,2.0,16,0.13
compact,mg,A,r13_r14_to_temp,2.0,12,0.27
compact,sp,A,r13_r14_to_temp,2.0,12,8.15
compact,ft,A,r13_r14_to_temp,2.0,16,0.42
scatter,ft,A,r13_r14_to_temp,1.0,8,0.49
compact,ft,A,r13_r14_to_temp,3.0,1,2.72
scatter,is,A,r13_r14_to_temp,2.0,6,0.08
compact,lu,A,r13_r14_to_temp,3.0,6,9.44
scatter,ft,A,r13_r14_to_temp,1.0,6,0.62
compact,mg,A,r13_r14_to_temp,2.0,8,0.32
compact,sp,A,r13_r14_to_temp,3.0,4,17.05
scatter,bt,A,r13_r14_to_temp,3.0,6,19.1
scatter,sp,A,r13_r14_to_temp,2.0,1,31.84
compact,sp,A,r13_r14_to_temp,1.0,6,12.62
compact,cg,A,r13_r14_to_temp,2.0,12,0.16
compact,ft,A,r13_r14_to_temp,1.0,14,0.46
compact,mg,A,r13_r14_to_temp,3.0,1,1.07
compact,ep,A,r13_r14_to_temp,1.0,16,2.18
compact,ep,A,r13_r14_to_temp,3.0,4,6.83
scatter,ft,A,r13_r14_to_temp,3.0,4,0.76
scatter,ft,A,r13_r14_to_temp,2.0,4,0.76
scatter,ep,A,r13_r14_to_temp,3.0,4,6.47
compact,ft,A,r13_r14_to_temp,2.0,10,0.59
compact,is,A,r13_r14_to_temp,3.0,12,0.07
compact,is,A,r13_r14_to_temp,2.0,4,0.16
scatter,cg,A,r13_r14_to_temp,1.0,1,1.04
scatter,ft,A,r13_r14_to_temp,3.0,2,1.38
scatter,mg,A,r13_r14_to_temp,3.0,4,0.32
compact,mg,A,r13_r14_to_temp,2.0,4,0.5
compact,sp,A,r13_r14_to_temp,2.0,14,7.48
compact,ft,A,r13_r14_to_temp,3.0,16,0.42
compact,bt,A,r13_r14_to_temp,3.0,6,30.65
compact,is,A,r13_r14_to_temp,1.0,1,0.36
compact,cg,A,r13_r14_to_temp,1.0,6,0.27
scatter,lu,A,r13_r14_to_temp,3.0,6,6.78
compact,lu,A,r13_r14_to_temp,3.0,16,4.8
scatter,lu,A,r13_r14_to_temp,3.0,2,15.09
scatter,cg,A,r13_r14_to_temp,3.0,4,0.29
compact,is,A,r13_r14_to_temp,3.0,4,0.17
compact,bt,A,r13_r14_to_temp,3.0,4,41.89
scatter,ep,A,r13_r14_to_temp,3.0,6,5.04
compact,ft,A,r13_r14_to_temp,3.0,8,0.64
compact,cg,A,r13_r14_to_temp,2.0,10,0.19
scatter,is,A,r13_r14_to_temp,1.0,2,0.19
compact,ep,A,r13_r14_to_temp,3.0,12,2.97
compact,sp,A,r13_r14_to_temp,3.0,8,9.55
scatter,bt,A,r13_r14_to_temp,1.0,1,85.8
compact,bt,A,r13_r14_to_temp,3.0,8,23.07
scatter,cg,A,r13_r14_to_temp,3.0,2,0.55
scatter,ft,A,r13_r14_to_temp,1.0,4,0.76
scatter,cg,A,r13_r14_to_temp,1.0,6,0.23
compact,bt,A,r13_r14_to_temp,2.0,1,85.82
compact,lu,A,r13_r14_to_temp,2.0,4,12.95
compact,sp,A,r13_r14_to_temp,2.0,16,6.38
compact,ft,A,r13_r14_to_temp,1.0,12,0.52
compact,bt,A,r13_r14_to_temp,2.0,14,16.08
scatter,cg,A,r13_r14_to_temp,1.0,8,0.18
compact,bt,A,r13_r14_to_temp,3.0,1,85.67
compact,bt,A,r13_r14_to_temp,1.0,4,41.88
compact,lu,A,r13_r14_to_temp,1.0,12,6.23
