benchmark,A,B,C
bt,2.94,3.0,3.04
cg,3.75,4.35,1.75
ep,2.71,2.77,2.94
ft,1.26,1.62,
is,1.43,3.64,3.46
lu,8.05,7.8,8.29
mg,1.47,1.79,
sp,18.53,19.03,16.14
ua,-5.34,-5.62,-5.32
Mean,3.87,4.27,4.33
