benchmark,loads,stores
bt,2953597627,728622991
cg,3750608753,2075392214
ep,2990625786,4162035136
ft,2749406715,1704120335
is,2495691816,1449186188
lu,2452185793,1664908038
mg,2853199869,3190783790
sp,2296532114,1517770933
ua,3177318003,20739129
