Affinity,Benchmark,Class,Experiment,Iteration,Threads,Time
scatter,mg,A,r14_to_temp,2.0,2,0.55
compact,is,A,r14_to_temp,2.0,2,0.32
compact,cg,A,r14_to_temp,1.0,12,0.16
compact,ep,A,r14_to_temp,2.0,8,3.75
scatter,sp,A,r14_to_temp,3.0,4,9.21
scatter,ep,A,r14_to_temp,2.0,4,6.47
scatter,bt,A,r14_to_temp,1.0,2,41.41
compact,is,A,r14_to_temp,1.0,14,0.06
compact,lu,A,r14_to_temp,2.0,8,7.12
compact,lu,A,r14_to_temp,1.0,16,4.71
compact,lu,A,r14_to_temp,3.0,12,6.28
compact,mg,A,r14_to_temp,3.0,10,0.29
scatter,ft,A,r14_to_temp,3.0,8,0.49
compact,ft,A,r14_to_temp,1.0,6,0.83
scatter,lu,A,r14_to_temp,2.0,4,8.27
compact,sp,A,r14_to_temp,2.0,2,30.91
compact,ft,A,r14_to_temp,1.0,8,0.64
scatter,ft,A,r14_to_temp,2.0,1,2.74
compact,bt,A,r14_to_temp,3.0,2,78.89
scatter,bt,A,r14_to_temp,1.0,8,13.54
compact,lu,A,r14_to_temp,3.0,14,5.51
compact,is,A,r14_to_temp,2.0,6,0.12
scatter,ep,A,r14_to_temp,3.0,2,12.01
compact,bt,A,r14_to_temp,1.0,12,18.51
compact,ft,A,r14_to_temp,3.0,10,0.59
compact,is,A,r14_to_temp,1.0,4,0.16
scatter,lu,A,r14_to_temp,1.0,1,29.42
scatter,mg,A,r14_to_temp,3.0,1,1.07
scatter,cg,A,r14_to_temp,1.0,4,0.29
compact,ep,A,r14_to_temp,1.0,1,24.18
scatter,cg,A,r14_to_temp,3.0,8,0.18
scatter,mg,A,r14_to_temp,2.0,8,0.24
compact,sp,A,r14_to_temp,3.0,1,31.08
compact,bt,A,r14_to_temp,3.0,10,21.63
compact,lu,A,r14_to_temp,3.0,10,7.16
compact,mg,A,r14_to_temp,1.0,12,0.27
scatter,sp,A,r14_to_temp,2.0,2,15.88
compact,sp,A,r14_to_temp,3.0,14,7.0
scatter,lu,A,r14_to_temp,1.0,2,15.1
compact,mg,A,r14_to_temp,1.0,16,0.25
compact,sp,A,r14_to_temp,2.0,4,16.21
compact,mg,A,r14_to_temp,1.0,8,0.32
scatter,sp,A,r14_to_temp,1.0,1,30.86
compact,ep,A,r14_to_temp,3.0,6,5.0
compact,mg,A,r14_to_temp,1.0,1,1.07
scatter,lu,A,r14_to_temp,2.0,8,5.02
compact,bt,A,r14_to_temp,2.0,2,78.91
compact,cg,A,r14_to_temp,1.0,1,1.04
compact,sp,A,r14_to_temp,2.0,10,9.2
compact,lu,A,r14_to_temp,2.0,1,29.67
compact,is,A,r14_to_temp,2.0,10,0.08
compact,is,A,r14_to_temp,2.0,14,0.07
compact,bt,A,r14_to_temp,2.0,4,40.21
scatter,ep,A,r14_to_temp,3.0,1,24.02
scatter,ft,A,r14_to_temp,3.0,1,2.74
scatter,bt,A,r14_to_temp,3.0,1,82.59
scatter,mg,A,r14_to_temp,3.0,6,0.27
scatter,ft,A,r14_to_temp,2.0,6,0.61
compact,sp,A,r14_to_temp,2.0,8,9.31
compact,mg,A,r14_to_temp,3.0,14,0.26
compact,mg,A,r14_to_temp,2.0,2,0.95
scatter,is,A,r14_to_temp,3.0,2,0.19
scatter,mg,A,r14_to_temp,2.0,4,0.32
scatter,is,A,r14_to_temp,1.0,6,0.08
compact,is,A,r14_to_temp,1.0,2,0.32
scatter,lu,A,r14_to_temp,3.0,8,5.03
compact,ft,A,r14_to_temp,3.0,6,0.83
scatter,cg,A,r14_to_temp,2.0,4,0.29
compact,ep,A,r14_to_temp,2.0,2,13.61
scatter,is,A,r14_to_temp,3.0,1,0.36
compact,bt,A,r14_to_temp,1.0,16,13.18
compact,sp,A,r14_to_temp,3.0,16,6.37
compact,cg,A,r14_to_temp,2.0,1,1.04
compact,bt,A,r14_to_temp,2.0,8,22.07
compact,cg,A,r14_to_temp,1.0,2,0.7
compact,cg,A,r14_to_temp,3.0,1,1.04
scatter,mg,A,r14_to_temp,1.0,4,0.32
compact,sp,A,r14_to_temp,2.0,6,11.98
scatter,bt,A,r14_to_temp,2.0,1,82.48
compact,cg,A,r14_to_temp,3.0,12,0.16
compact,mg,A,r14_to_temp,1.0,6,0.38
compact,sp,A,r14_to_temp,1.0,10,9.08
compact,ep,A,r14_to_temp,2.0,4,6.97
compact,bt,A,r14_to_temp,1.0,10,21.61
compact,lu,A,r14_to_temp,3.0,2,23.94
compact,ft,A,r14_to_temp,2.0,1,2.76
compact,cg,A,r14_to_temp,3.0,14,0.16
scatter,lu,A,r14_to_temp,1.0,8,5.01
scatter,bt,A,r14_to_temp,2.0,8,13.54
compact,ep,A,r14_to_temp,2.0,6,5.08
scatter,lu,A,r14_to_temp,2.0,1,29.52
compact,ep,A,r14_to_temp,1.0,6,4.89
scatter,sp,A,r14_to_temp,3.0,8,5.83
compact,is,A,r14_to_temp,1.0,6,0.12
scatter,ep,A,r14_to_temp,1.0,4,6.47
compact,mg,A,r14_to_temp,2.0,6,0.38
compact,cg,A,r14_to_temp,3.0,10,0.2
compact,cg,A,r14_to_temp,2.0,16,0.14
compact,mg,A,r14_to_temp,2.0,12,0.3
compact,sp,A,r14_to_temp,2.0,12,7.97
compact,ft,A,r14_to_temp,2.0,16,0.42
scatter,ft,A,r14_to_temp,1.0,8,0.49
compact,ft,A,r14_to_temp,3.0,1,2.73
scatter,is,A,r14_to_temp,2.0,6,0.08
compact,lu,A,r14_to_temp,3.0,6,9.25
scatter,ft,A,r14_to_temp,1.0,6,0.62
compact,mg,A,r14_to_temp,2.0,8,0.32
compact,sp,A,r14_to_temp,3.0,4,16.54
scatter,bt,A,r14_to_temp,3.0,6,18.41
scatter,sp,A,r14_to_temp,2.0,1,31.05
compact,sp,A,r14_to_temp,1.0,6,12.04
compact,cg,A,r14_to_temp,2.0,12,0.16
compact,ft,A,r14_to_temp,1.0,14,0.46
compact,mg,A,r14_to_temp,3.0,1,1.07
compact,ep,A,r14_to_temp,1.0,16,2.25
compact,ep,A,r14_to_temp,3.0,4,7.01
scatter,ft,A,r14_to_temp,3.0,4,0.76
scatter,ft,A,r14_to_temp,2.0,4,0.76
scatter,ep,A,r14_to_temp,3.0,4,6.43
compact,ft,A,r14_to_temp,2.0,10,0.59
compact,is,A,r14_to_temp,3.0,12,0.07
compact,is,A,r14_to_temp,2.0,4,0.17
scatter,cg,A,r14_to_temp,1.0,1,1.04
scatter,ft,A,r14_to_temp,3.0,2,1.38
scatter,mg,A,r14_to_temp,3.0,4,0.32
compact,mg,A,r14_to_temp,2.0,4,0.5
compact,sp,A,r14_to_temp,2.0,14,7.24
compact,ft,A,r14_to_temp,3.0,16,0.42
compact,bt,A,r14_to_temp,3.0,6,29.43
compact,is,A,r14_to_temp,1.0,1,0.36
compact,cg,A,r14_to_temp,1.0,6,0.27
scatter,lu,A,r14_to_temp,3.0,6,6.64
compact,lu,A,r14_to_temp,3.0,16,4.74
scatter,lu,A,r14_to_temp,3.0,2,15.11
scatter,cg,A,r14_to_temp,3.0,4,0.29
compact,is,A,r14_to_temp,3.0,4,0.16
compact,bt,A,r14_to_temp,3.0,4,40.87
scatter,ep,A,r14_to_temp,3.0,6,5.01
compact,ft,A,r14_to_temp,3.0,8,0.64
compact,cg,A,r14_to_temp,2.0,10,0.19
scatter,is,A,r14_to_temp,1.0,2,0.19
compact,ep,A,r14_to_temp,3.0,12,2.9
compact,sp,A,r14_to_temp,3.0,8,9.31
scatter,bt,A,r14_to_temp,1.0,1,82.93
compact,bt,A,r14_to_temp,3.0,8,22.1
scatter,cg,A,r14_to_temp,3.0,2,0.56
scatter,ft,A,r14_to_temp,1.0,4,0.77
scatter,cg,A,r14_to_temp,1.0,6,0.23
compact,bt,A,r14_to_temp,2.0,1,82.49
compact,lu,A,r14_to_temp,2.0,4,12.9
compact,sp,A,r14_to_temp,2.0,16,6.26
compact,ft,A,r14_to_temp,1.0,12,0.51
compact,bt,A,r14_to_temp,2.0,14,15.45
scatter,cg,A,r14_to_temp,1.0,8,0.18
compact,bt,A,r14_to_temp,3.0,1,83.12
compact,bt,A,r14_to_temp,1.0,4,40.2
compact,lu,A,r14_to_temp,1.0,12,6.27
compact,ft,A,r14_to_temp,3.0,12,0.52
compact,cg,A,r14_to_temp,3.0,16,0.14
compact,lu,A,r14_to_temp,1.0,14,5.52
scatter,sp,A,r14_to_temp,1.0,6,7.39
scatter,ep,A,r14_to_temp,3.0,8,3.76
compact,ft,A,r14_to_temp,2.0,8,0.64
scatter,sp,A,r14_to_temp,1.0,2,15.88
compact,lu,A,r14_to_temp,2.0,14,5.44
compact,mg,A,r14_to_temp,2.0,16,0.25
scatter,ep,A,r14_to_temp,2.0,8,3.77
compact,mg,A,r14_to_temp,2.0,10,0.29
compact,is,A,r14_to_temp,3.0,2,0.32
compact,lu,A,r14_to_temp,1.0,1,29.66
scatter,cg,A,r14_to_temp,2.0,8,0.18
compact,cg,A,r14_to_temp,2.0,6,0.27
scatter,lu,A,r14_to_temp,1.0,6,6.62
compact,mg,A,r14_to_temp,1.0,14,0.26
scatter,sp,A,r14_to_temp,3.0,1,31.06
scatter,mg,A,r14_to_temp,2.0,6,0.27
compact,bt,A,r14_to_temp,3.0,14,15.44
compact,lu,A,r14_to_temp,2.0,16,4.72
compact,bt,A,r14_to_temp,1.0,6,29.42
scatter,cg,A,r14_to_temp,3.0,1,1.04
compact,ep,A,r14_to_temp,3.0,8,3.8
compact,ep,A,r14_to_temp,3.0,1,24.13
compact,mg,A,r14_to_temp,3.0,4,0.5
scatter,bt,A,r14_to_temp,3.0,2,41.49
compact,cg,A,r14_to_temp,1.0,16,0.13
compact,lu,A,r14_to_temp,2.0,10,7.25
scatter,cg,A,r14_to_temp,3.0,6,0.23
scatter,bt,A,r14_to_temp,2.0,4,22.95
compact,ep,A,r14_to_temp,1.0,14,2.53
scatter,mg,A,r14_to_temp,3.0,8,0.24
compact,mg,A,r14_to_temp,3.0,8,0.32
compact,mg,A,r14_to_temp,1.0,10,0.29
compact,ft,A,r14_to_temp,3.0,2,2.23
compact,mg,A,r14_to_temp,3.0,2,0.96
compact,is,A,r14_to_temp,2.0,8,0.09
scatter,is,A,r14_to_temp,1.0,1,0.36
scatter,bt,A,r14_to_temp,3.0,4,23.09
scatter,is,A,r14_to_temp,2.0,1,0.36
compact,ft,A,r14_to_temp,2.0,4,1.13
compact,ft,A,r14_to_temp,2.0,12,0.52
compact,is,A,r14_to_temp,3.0,1,0.36
compact,bt,A,r14_to_temp,3.0,12,18.57
compact,ep,A,r14_to_temp,1.0,10,3.59
compact,lu,A,r14_to_temp,1.0,10,7.16
compact,sp,A,r14_to_temp,3.0,10,9.15
compact,sp,A,r14_to_temp,3.0,6,12.25
scatter,sp,A,r14_to_temp,2.0,8,5.86
scatter,cg,A,r14_to_temp,2.0,2,0.56
compact,bt,A,r14_to_temp,1.0,14,16.24
scatter,ep,A,r14_to_temp,1.0,2,12.02
compact,ft,A,r14_to_temp,1.0,4,1.15
scatter,ep,A,r14_to_temp,1.0,6,5.01
scatter,bt,A,r14_to_temp,2.0,2,41.49
compact,sp,A,r14_to_temp,2.0,1,31.31
scatter,is,A,r14_to_temp,2.0,8,0.06
compact,ep,A,r14_to_temp,1.0,12,2.91
scatter,sp,A,r14_to_temp,2.0,4,9.16
compact,is,A,r14_to_temp,3.0,6,0.12
compact,is,A,r14_to_temp,1.0,12,0.07
compact,is,A,r14_to_temp,3.0,10,0.08
scatter,ft,A,r14_to_temp,1.0,2,1.38
compact,sp,A,r14_to_temp,3.0,2,31.03
scatter,cg,A,r14_to_temp,2.0,6,0.23
scatter,ft,A,r14_to_temp,3.0,6,0.62
scatter,cg,A,r14_to_temp,2.0,1,1.04
compact,lu,A,r14_to_temp,3.0,8,7.12
scatter,bt,A,r14_to_temp,1.0,4,22.99
compact,ft,A,r14_to_temp,3.0,4,1.13
compact,bt,A,r14_to_temp,1.0,1,82.63
scatter,ep,A,r14_to_temp,1.0,1,24.01
compact,bt,A,r14_to_temp,1.0,8,22.1
