ua/ua_aarch64_init.out  :
section                       size      addr
.note.gnu.build-id              36   4194648
.text                       144128   4194688
.rodata                      20592   4338816
.eh_frame                     3168   4359408
.got                            64   4456360
.got.plt                        24   4456424
.data                          504   4456448
.bss                     133717316   4456960
.comment                       225         0
.debug_str                    8572         0
.debug_loc                  101264         0
.debug_abbrev                21205         0
.debug_info                  76814         0
.debug_ranges                 6880         0
.debug_macinfo                  99         0
.debug_frame                  6432         0
.debug_line                  41283         0
.debug_aranges                  48         0
.note.gnu.gold-version          28         0
Total                    134148682


